kind,source,target,topic_type
publish,/laserMapping,/Laser_map,sensor_msgs/PointCloud2
publish,/laserMapping,/Odometry,nav_msgs/Odometry
publish,/gazebo,/clock,rosgraph_msgs/Clock
publish,/laserMapping,/cloud_effected,sensor_msgs/PointCloud2
publish,/laserMapping,/cloud_registered,sensor_msgs/PointCloud2
publish,/laserMapping,/cloud_registered_body,sensor_msgs/PointCloud2
publish,/patrol_control,/control1,std_msgs/Bool
publish,/patrol_control,/control2,std_msgs/Bool
publish,/patrol_control,/control3,std_msgs/Bool
publish,/patrol_control,/detect/point_class,std_msgs/Int8
publish,/mavros,/diagnostics,diagnostic_msgs/DiagnosticArray
publish,/gazebo,/downward_camera/camera_info,sensor_msgs/CameraInfo
publish,/gazebo,/downward_camera/image_raw,sensor_msgs/Image
publish,/gazebo,/downward_camera/parameter_descriptions,dynamic_reconfigure/ConfigDescription
publish,/gazebo,/downward_camera/parameter_updates,dynamic_reconfigure/Config
publish,/navigation/planner_bridge,/fastplanner/goal,geometry_msgs/PoseStamped
publish,/traj_server,/fastplanner/setpoint_position/local,geometry_msgs/PoseStamped
publish,/freedom,/freedom/clusters,sensor_msgs/PointCloud2
publish,/freedom,/freedom/depth_image,sensor_msgs/Image
publish,/freedom,/freedom/enhanced_depth_image,sensor_msgs/Image
publish,/freedom,/freedom/enhanced_pointcloud,sensor_msgs/PointCloud2
publish,/freedom,/freedom/free_blocks,sensor_msgs/PointCloud2
publish,/freedom,/freedom/free_voxels,sensor_msgs/PointCloud2
publish,/freedom,/freedom/local_map_range,visualization_msgs/Marker
publish,/freedom,/freedom/raycast_range,visualization_msgs/Marker
publish,/freedom,/freedom/raycasted_blocks,sensor_msgs/PointCloud2
publish,/freedom,/freedom/raycasted_voxels,sensor_msgs/PointCloud2
publish,/freedom,/freedom/scan_blocks,sensor_msgs/PointCloud2
publish,/freedom,/freedom/scan_map_range,visualization_msgs/Marker
publish,/freedom,/freedom/scan_voxels,sensor_msgs/PointCloud2
publish,/freedom,/freedom/static_blocks,sensor_msgs/PointCloud2
publish,/freedom,/freedom/static_pointcloud,sensor_msgs/PointCloud2
publish,/static_pointcloud_viz,/freedom/static_pointcloud_viz,sensor_msgs/PointCloud2
publish,/freedom,/freedom/static_subvoxels,sensor_msgs/PointCloud2
publish,/freedom,/freedom/static_voxels,sensor_msgs/PointCloud2
publish,/gazebo,/gazebo/link_states,gazebo_msgs/LinkStates
publish,/gazebo,/gazebo/model_states,gazebo_msgs/ModelStates
publish,/gazebo,/gazebo/parameter_descriptions,dynamic_reconfigure/ConfigDescription
publish,/gazebo,/gazebo/parameter_updates,dynamic_reconfigure/Config
publish,/gazebo,/gazebo/performance_metrics,gazebo_msgs/PerformanceMetrics
publish,/gazebo,/livox/imu,sensor_msgs/Imu
publish,/gazebo,/livox/lidar,sensor_msgs/PointCloud2
publish,/mavros,/mavlink/from,mavros_msgs/Mavlink
publish,/mavros,/mavlink/gcs_ip,std_msgs/String
publish,/mavros,/mavros/adsb/vehicle,mavros_msgs/ADSBVehicle
publish,/mavros,/mavros/altitude,mavros_msgs/Altitude
publish,/mavros,/mavros/battery,sensor_msgs/BatteryState
publish,/mavros,/mavros/cam_imu_sync/cam_imu_stamp,mavros_msgs/CamIMUStamp
publish,/mavros,/mavros/camera/image_captured,mavros_msgs/CameraImageCaptured
publish,/mavros,/mavros/debug_value/debug,mavros_msgs/DebugValue
publish,/mavros,/mavros/debug_value/debug_float_array,mavros_msgs/DebugValue
publish,/mavros,/mavros/debug_value/debug_vector,mavros_msgs/DebugValue
publish,/mavros,/mavros/debug_value/named_value_float,mavros_msgs/DebugValue
publish,/mavros,/mavros/debug_value/named_value_int,mavros_msgs/DebugValue
publish,/mavros,/mavros/esc_info,mavros_msgs/ESCInfo
publish,/mavros,/mavros/esc_status,mavros_msgs/ESCStatus
publish,/mavros,/mavros/esc_telemetry,mavros_msgs/ESCTelemetry
publish,/mavros,/mavros/estimator_status,mavros_msgs/EstimatorStatus
publish,/mavros,/mavros/extended_state,mavros_msgs/ExtendedState
publish,/mavros,/mavros/geofence/waypoints,mavros_msgs/WaypointList
publish,/mavros,/mavros/global_position/compass_hdg,std_msgs/Float64
publish,/mavros,/mavros/global_position/global,sensor_msgs/NavSatFix
publish,/mavros,/mavros/global_position/gp_lp_offset,geometry_msgs/PoseStamped
publish,/mavros,/mavros/global_position/gp_origin,geographic_msgs/GeoPointStamped
publish,/mavros,/mavros/global_position/local,nav_msgs/Odometry
publish,/mavros,/mavros/global_position/raw/fix,sensor_msgs/NavSatFix
publish,/mavros,/mavros/global_position/raw/gps_vel,geometry_msgs/TwistStamped
publish,/mavros,/mavros/global_position/raw/satellites,std_msgs/UInt32
publish,/mavros,/mavros/global_position/rel_alt,std_msgs/Float64
publish,/mavros,/mavros/gps_rtk/rtk_baseline,mavros_msgs/RTKBaseline
publish,/mavros,/mavros/gpsstatus/gps1/raw,mavros_msgs/GPSRAW
publish,/mavros,/mavros/gpsstatus/gps1/rtk,mavros_msgs/GPSRTK
publish,/mavros,/mavros/gpsstatus/gps2/raw,mavros_msgs/GPSRAW
publish,/mavros,/mavros/gpsstatus/gps2/rtk,mavros_msgs/GPSRTK
publish,/mavros,/mavros/hil/actuator_controls,mavros_msgs/HilActuatorControls
publish,/mavros,/mavros/hil/controls,mavros_msgs/HilControls
publish,/mavros,/mavros/home_position/home,mavros_msgs/HomePosition
publish,/mavros,/mavros/imu/data,sensor_msgs/Imu
publish,/mavros,/mavros/imu/data_raw,sensor_msgs/Imu
publish,/mavros,/mavros/imu/diff_pressure,sensor_msgs/FluidPressure
publish,/mavros,/mavros/imu/mag,sensor_msgs/MagneticField
publish,/mavros,/mavros/imu/static_pressure,sensor_msgs/FluidPressure
publish,/mavros,/mavros/imu/temperature_baro,sensor_msgs/Temperature
publish,/mavros,/mavros/imu/temperature_imu,sensor_msgs/Temperature
publish,/mavros,/mavros/landing_target/lt_marker,geometry_msgs/Vector3Stamped
publish,/mavros,/mavros/landing_target/pose_in,geometry_msgs/PoseStamped
publish,/mavros,/mavros/local_position/accel,geometry_msgs/AccelWithCovarianceStamped
publish,/mavros,/mavros/local_position/odom,nav_msgs/Odometry
publish,/mavros,/mavros/local_position/pose,geometry_msgs/PoseStamped
publish,/mavros,/mavros/local_position/pose_cov,geometry_msgs/PoseWithCovarianceStamped
publish,/mavros,/mavros/local_position/velocity_body,geometry_msgs/TwistStamped
publish,/mavros,/mavros/local_position/velocity_body_cov,geometry_msgs/TwistWithCovarianceStamped
publish,/mavros,/mavros/local_position/velocity_local,geometry_msgs/TwistStamped
publish,/mavros,/mavros/log_transfer/raw/log_data,mavros_msgs/LogData
publish,/mavros,/mavros/log_transfer/raw/log_entry,mavros_msgs/LogEntry
publish,/mavros,/mavros/mag_calibration/report,mavros_msgs/MagnetometerReporter
publish,/mavros,/mavros/mag_calibration/status,std_msgs/UInt8
publish,/mavros,/mavros/manual_control/control,mavros_msgs/ManualControl
publish,/mavros,/mavros/mission/reached,mavros_msgs/WaypointReached
publish,/mavros,/mavros/mission/waypoints,mavros_msgs/WaypointList
publish,/mavros,/mavros/mount_control/orientation,geometry_msgs/Quaternion
publish,/mavros,/mavros/mount_control/status,geometry_msgs/Vector3Stamped
publish,/mavros,/mavros/nav_controller_output,mavros_msgs/NavControllerOutput
publish,/mavros,/mavros/odometry/in,nav_msgs/Odometry
publish,/mavros,/mavros/param/param_value,mavros_msgs/Param
publish,/mavros,/mavros/px4flow/ground_distance,sensor_msgs/Range
publish,/mavros,/mavros/px4flow/raw/optical_flow_rad,mavros_msgs/OpticalFlowRad
publish,/mavros,/mavros/px4flow/temperature,sensor_msgs/Temperature
publish,/mavros,/mavros/radio_status,mavros_msgs/RadioStatus
publish,/mavros,/mavros/rallypoint/waypoints,mavros_msgs/WaypointList
publish,/mavros,/mavros/rc/in,mavros_msgs/RCIn
publish,/mavros,/mavros/rc/out,mavros_msgs/RCOut
publish,/patrol_control,/mavros/setpoint_position/local,geometry_msgs/PoseStamped
publish,/mavros,/mavros/setpoint_raw/target_attitude,mavros_msgs/AttitudeTarget
publish,/mavros,/mavros/setpoint_raw/target_global,mavros_msgs/GlobalPositionTarget
publish,/mavros,/mavros/setpoint_raw/target_local,mavros_msgs/PositionTarget
publish,/mavros,/mavros/setpoint_trajectory/desired,nav_msgs/Path
publish,/mavros,/mavros/state,mavros_msgs/State
publish,/mavros,/mavros/statustext/recv,mavros_msgs/StatusText
publish,/mavros,/mavros/sys_status,mavros_msgs/SysStatus
publish,/mavros,/mavros/target_actuator_control,mavros_msgs/ActuatorControl
publish,/mavros,/mavros/terrain/report,mavros_msgs/TerrainReport
publish,/mavros,/mavros/time_reference,sensor_msgs/TimeReference
publish,/mavros,/mavros/timesync_status,mavros_msgs/TimesyncStatus
publish,/mavros,/mavros/trajectory/desired,mavros_msgs/Trajectory
publish,/mavros,/mavros/tunnel/out,mavros_msgs/Tunnel
publish,/mavros,/mavros/vfr_hud,mavros_msgs/VFR_HUD
publish,/mavros,/mavros/wind_estimation,geometry_msgs/TwistWithCovarianceStamped
publish,/navigation/planner_bridge,/mission/command,patrol_control/MissionCommand
publish,/patrol_control,/mission/control_ready,std_msgs/Bool
publish,/gazebo_contact_monitor,/mission/gazebo_contact_status,std_msgs/String
publish,/planner_anchor_spawner,/mission/planner_anchor_status,std_msgs/String
publish,/random_field_spawner,/mission/random_field_status,std_msgs/String
publish,/release_permission_arbiter,/mission/release_commitment_evidence,uav_vision/ReleaseEvidence
publish,/release_permission_arbiter,/mission/release_permission,uav_mission/ReleasePermission
publish,/release_permission_arbiter,/mission/release_permission_active,std_msgs/Bool
publish,/guarded_servo_proxy,/mission/release_result,uav_mission/ReleaseResult
publish,/gazebo,/mission/uav_contacts_raw,gazebo_msgs/ContactsState
publish,/visual_delivery_audit,/mission/visual_delivery_audit_status,std_msgs/String
publish,/mavros,/move_base_simple/goal,geometry_msgs/PoseStamped
publish,/navigation/mission_manager,/navigation/mission_command_raw,uav_mission/NavigationDecision
publish,/navigation/planner_bridge,/navigation/mission_result,uav_mission/NavigationResult
publish,/navigation_mission_start_gate,/navigation/mission_start_gate_status,std_msgs/String
publish,/navigation/mission_manager,/navigation/mission_status,std_msgs/String
publish,/navigation/planner_bridge,/navigation/planner_bridge_status,std_msgs/String
publish,/laserMapping,/path,nav_msgs/Path
publish,/fast_planner_node,/planning/bspline,plan_manage/Bspline
publish,/fast_planner_node,/planning/goal_status,plan_manage/PlannerStatus
publish,/fast_planner_node,/planning/new,std_msgs/Empty
publish,/traj_server,/planning/pos_cmd,quadrotor_msgs/PositionCommand
publish,/traj_server,/planning/position_cmd_vis,visualization_msgs/Marker
publish,/fast_planner_node,/planning/replan,std_msgs/Empty
publish,/traj_server,/planning/travel_traj,visualization_msgs/Marker
publish,/fast_planner_node,/planning_vis/frontier,visualization_msgs/Marker
publish,/fast_planner_node,/planning_vis/prediction,visualization_msgs/Marker
publish,/fast_planner_node,/planning_vis/topo_path,visualization_msgs/Marker
publish,/fast_planner_node,/planning_vis/trajectory,visualization_msgs/Marker
publish,/fast_planner_node,/planning_vis/visib_constraint,visualization_msgs/Marker
publish,/fast_planner_node,/planning_vis/yaw,visualization_msgs/Marker
publish,/circle_detector,/rosout,rosgraph_msgs/Log
publish,/cross_detector,/rosout,rosgraph_msgs/Log
publish,/detection_fusion,/rosout,rosgraph_msgs/Log
publish,/downward_camera_extrinsic,/rosout,rosgraph_msgs/Log
publish,/drop_aligner,/rosout,rosgraph_msgs/Log
publish,/fast_planner_node,/rosout,rosgraph_msgs/Log
publish,/freedom,/rosout,rosgraph_msgs/Log
publish,/gazebo,/rosout,rosgraph_msgs/Log
publish,/gazebo_contact_monitor,/rosout,rosgraph_msgs/Log
publish,/guarded_servo_proxy,/rosout,rosgraph_msgs/Log
publish,/landing_detector,/rosout,rosgraph_msgs/Log
publish,/laserMapping,/rosout,rosgraph_msgs/Log
publish,/mavros,/rosout,rosgraph_msgs/Log
publish,/mock_raw_servo_server,/rosout,rosgraph_msgs/Log
publish,/navigation/mission_manager,/rosout,rosgraph_msgs/Log
publish,/navigation/planner_bridge,/rosout,rosgraph_msgs/Log
publish,/navigation_mission_start_gate,/rosout,rosgraph_msgs/Log
publish,/navigation_vcl06_assertion,/rosout,rosgraph_msgs/Log
publish,/patrol_control,/rosout,rosgraph_msgs/Log
publish,/planner_anchor_spawner,/rosout,rosgraph_msgs/Log
publish,/random_field_spawner,/rosout,rosgraph_msgs/Log
publish,/release_permission_arbiter,/rosout,rosgraph_msgs/Log
publish,/static_pointcloud_viz,/rosout,rosgraph_msgs/Log
publish,/target_detector,/rosout,rosgraph_msgs/Log
publish,/target_map_projector,/rosout,rosgraph_msgs/Log
publish,/target_memory,/rosout,rosgraph_msgs/Log
publish,/target_refiner,/rosout,rosgraph_msgs/Log
publish,/traj_server,/rosout,rosgraph_msgs/Log
