topic,kind,publishers,subscribers
/Laser_map,publisher_only,/laserMapping,
/Odometry,publisher_only,/laserMapping,
/cloud_effected,publisher_only,/laserMapping,
/cloud_registered,publisher_only,/laserMapping,
/control1,publisher_only,/patrol_control,
/control2,publisher_only,/patrol_control,
/control3,publisher_only,/patrol_control,
/diagnostics,publisher_only,/mavros,
/downward_camera/parameter_descriptions,publisher_only,/gazebo,
/downward_camera/parameter_updates,publisher_only,/gazebo,
/freedom/clusters,publisher_only,/freedom,
/freedom/depth_image,publisher_only,/freedom,
/freedom/enhanced_depth_image,publisher_only,/freedom,
/freedom/enhanced_pointcloud,publisher_only,/freedom,
/freedom/free_blocks,publisher_only,/freedom,
/freedom/free_voxels,publisher_only,/freedom,
/freedom/local_map_range,publisher_only,/freedom,
/freedom/raycast_range,publisher_only,/freedom,
/freedom/raycasted_blocks,publisher_only,/freedom,
/freedom/raycasted_voxels,publisher_only,/freedom,
/freedom/scan_blocks,publisher_only,/freedom,
/freedom/scan_map_range,publisher_only,/freedom,
/freedom/scan_voxels,publisher_only,/freedom,
/freedom/static_blocks,publisher_only,/freedom,
/freedom/static_pointcloud_viz,publisher_only,/static_pointcloud_viz,
/freedom/static_subvoxels,publisher_only,/freedom,
/freedom/static_voxels,publisher_only,/freedom,
/gazebo/link_states,publisher_only,/gazebo,
/gazebo/model_states,publisher_only,/gazebo,
/gazebo/parameter_descriptions,publisher_only,/gazebo,
/gazebo/parameter_updates,publisher_only,/gazebo,
/gazebo/performance_metrics,publisher_only,/gazebo,
/gazebo/set_link_state,subscriber_only,,/gazebo
/gazebo/set_model_state,subscriber_only,,/gazebo
/livox/imu,publisher_only,/gazebo,
/mavlink/from,publisher_only,/mavros,
/mavlink/gcs_ip,publisher_only,/mavros,
/mavlink/to,subscriber_only,,/mavros
/mavros/actuator_control,subscriber_only,,/mavros
/mavros/adsb/send,subscriber_only,,/mavros
/mavros/adsb/vehicle,publisher_only,/mavros,
/mavros/altitude,publisher_only,/mavros,
/mavros/battery,publisher_only,/mavros,
/mavros/cam_imu_sync/cam_imu_stamp,publisher_only,/mavros,
/mavros/camera/image_captured,publisher_only,/mavros,
/mavros/cellular_status/status,subscriber_only,,/mavros
/mavros/companion_process/status,subscriber_only,,/mavros
/mavros/debug_value/debug,publisher_only,/mavros,
/mavros/debug_value/debug_float_array,publisher_only,/mavros,
/mavros/debug_value/debug_vector,publisher_only,/mavros,
/mavros/debug_value/named_value_float,publisher_only,/mavros,
/mavros/debug_value/named_value_int,publisher_only,/mavros,
/mavros/debug_value/send,subscriber_only,,/mavros
/mavros/esc_info,publisher_only,/mavros,
/mavros/esc_status,publisher_only,/mavros,
/mavros/esc_telemetry,publisher_only,/mavros,
/mavros/estimator_status,publisher_only,/mavros,
/mavros/fake_gps/mocap/tf,subscriber_only,,/mavros
/mavros/geofence/waypoints,publisher_only,/mavros,
/mavros/global_position/compass_hdg,publisher_only,/mavros,
/mavros/global_position/gp_lp_offset,publisher_only,/mavros,
/mavros/global_position/local,publisher_only,/mavros,
/mavros/global_position/raw/fix,publisher_only,/mavros,
/mavros/global_position/raw/gps_vel,publisher_only,/mavros,
/mavros/global_position/raw/satellites,publisher_only,/mavros,
/mavros/global_position/rel_alt,publisher_only,/mavros,
/mavros/global_position/set_gp_origin,subscriber_only,,/mavros
/mavros/gps_input/gps_input,subscriber_only,,/mavros
/mavros/gps_rtk/rtk_baseline,publisher_only,/mavros,
/mavros/gps_rtk/send_rtcm,subscriber_only,,/mavros
/mavros/gpsstatus/gps1/raw,publisher_only,/mavros,
/mavros/gpsstatus/gps1/rtk,publisher_only,/mavros,
/mavros/gpsstatus/gps2/raw,publisher_only,/mavros,
/mavros/gpsstatus/gps2/rtk,publisher_only,/mavros,
/mavros/hil/actuator_controls,publisher_only,/mavros,
/mavros/hil/controls,publisher_only,/mavros,
/mavros/hil/gps,subscriber_only,,/mavros
/mavros/hil/imu_ned,subscriber_only,,/mavros
/mavros/hil/optical_flow,subscriber_only,,/mavros
/mavros/hil/rc_inputs,subscriber_only,,/mavros
/mavros/hil/state,subscriber_only,,/mavros
/mavros/home_position/set,subscriber_only,,/mavros
/mavros/imu/data_raw,publisher_only,/mavros,
/mavros/imu/diff_pressure,publisher_only,/mavros,
/mavros/imu/mag,publisher_only,/mavros,
/mavros/imu/static_pressure,publisher_only,/mavros,
/mavros/imu/temperature_baro,publisher_only,/mavros,
/mavros/imu/temperature_imu,publisher_only,/mavros,
/mavros/landing_target/lt_marker,publisher_only,/mavros,
/mavros/landing_target/pose,subscriber_only,,/mavros
/mavros/landing_target/pose_in,publisher_only,/mavros,
/mavros/local_position/accel,publisher_only,/mavros,
/mavros/local_position/pose_cov,publisher_only,/mavros,
/mavros/local_position/velocity_body,publisher_only,/mavros,
/mavros/local_position/velocity_body_cov,publisher_only,/mavros,
/mavros/local_position/velocity_local,publisher_only,/mavros,
/mavros/log_transfer/raw/log_data,publisher_only,/mavros,
/mavros/log_transfer/raw/log_entry,publisher_only,/mavros,
/mavros/mag_calibration/report,publisher_only,/mavros,
/mavros/mag_calibration/status,publisher_only,/mavros,
/mavros/manual_control/control,publisher_only,/mavros,
/mavros/manual_control/send,subscriber_only,,/mavros
/mavros/mission/reached,publisher_only,/mavros,
/mavros/mission/waypoints,publisher_only,/mavros,
/mavros/mocap/pose,subscriber_only,,/mavros
/mavros/mount_control/command,subscriber_only,,/mavros
/mavros/mount_control/orientation,publisher_only,/mavros,
/mavros/mount_control/status,publisher_only,/mavros,
/mavros/nav_controller_output,publisher_only,/mavros,
/mavros/obstacle/send,subscriber_only,,/mavros
/mavros/odometry/in,publisher_only,/mavros,
/mavros/odometry/out,subscriber_only,,/mavros
/mavros/onboard_computer/status,subscriber_only,,/mavros
/mavros/param/param_value,publisher_only,/mavros,
/mavros/play_tune,subscriber_only,,/mavros
/mavros/px4flow/ground_distance,publisher_only,/mavros,
/mavros/px4flow/raw/optical_flow_rad,publisher_only,/mavros,
/mavros/px4flow/raw/send,subscriber_only,,/mavros
/mavros/px4flow/temperature,publisher_only,/mavros,
/mavros/radio_status,publisher_only,/mavros,
/mavros/rallypoint/waypoints,publisher_only,/mavros,
/mavros/rc/in,publisher_only,/mavros,
/mavros/rc/out,publisher_only,/mavros,
/mavros/rc/override,subscriber_only,,/mavros
/mavros/setpoint_accel/accel,subscriber_only,,/mavros
/mavros/setpoint_attitude/cmd_vel,subscriber_only,,/mavros
/mavros/setpoint_attitude/thrust,subscriber_only,,/mavros
/mavros/setpoint_position/global,subscriber_only,,/mavros
/mavros/setpoint_position/global_to_local,subscriber_only,,/mavros
/mavros/setpoint_raw/attitude,subscriber_only,,/mavros
