topic,type,publishers,subscribers
/Laser_map,sensor_msgs/PointCloud2,/laserMapping,
/Odometry,nav_msgs/Odometry,/laserMapping,
/clock,rosgraph_msgs/Clock,/gazebo,/circle_detector;/cross_detector;/detection_fusion;/downward_camera_extrinsic;/drop_aligner;/fast_planner_node;/freedom;/gazebo;/gazebo_contact_monitor;/guarded_servo_proxy;/landing_detector;/laserMapping;/mavros;/mock_raw_servo_server;/navigation/mission_manager;/navigation/planner_bridge;/navigation_mission_start_gate;/navigation_vcl06_assertion;/patrol_control;/planner_anchor_spawner;/random_field_spawner;/release_permission_arbiter;/rosout;/static_pointcloud_viz;/target_detector;/target_map_projector;/target_memory;/target_refiner;/traj_server;/uav_arming_node;/vision_pose_tf;/visual_delivery_audit;/waypoint_generator
/cloud_effected,sensor_msgs/PointCloud2,/laserMapping,
/cloud_registered,sensor_msgs/PointCloud2,/laserMapping,
/cloud_registered_body,sensor_msgs/PointCloud2,/laserMapping,/freedom
/control1,std_msgs/Bool,/patrol_control,
/control2,std_msgs/Bool,/patrol_control,
/control3,std_msgs/Bool,/patrol_control,
/detect/point_class,std_msgs/Int8,/patrol_control,/navigation/planner_bridge;/release_permission_arbiter;/visual_delivery_audit
/diagnostics,diagnostic_msgs/DiagnosticArray,/mavros,
/downward_camera/camera_info,sensor_msgs/CameraInfo,/gazebo,/circle_detector;/cross_detector;/drop_aligner;/landing_detector;/target_map_projector
/downward_camera/image_raw,sensor_msgs/Image,/gazebo,/circle_detector;/cross_detector;/landing_detector;/target_detector
/downward_camera/parameter_descriptions,dynamic_reconfigure/ConfigDescription,/gazebo,
/downward_camera/parameter_updates,dynamic_reconfigure/Config,/gazebo,
/fastplanner/goal,geometry_msgs/PoseStamped,/navigation/planner_bridge,/fast_planner_node;/traj_server
/fastplanner/setpoint_position/local,geometry_msgs/PoseStamped,/traj_server,/patrol_control
/freedom/clusters,sensor_msgs/PointCloud2,/freedom,
/freedom/depth_image,sensor_msgs/Image,/freedom,
/freedom/enhanced_depth_image,sensor_msgs/Image,/freedom,
/freedom/enhanced_pointcloud,sensor_msgs/PointCloud2,/freedom,
/freedom/free_blocks,sensor_msgs/PointCloud2,/freedom,
/freedom/free_voxels,sensor_msgs/PointCloud2,/freedom,
/freedom/local_map_range,visualization_msgs/Marker,/freedom,
/freedom/raycast_range,visualization_msgs/Marker,/freedom,
/freedom/raycasted_blocks,sensor_msgs/PointCloud2,/freedom,
/freedom/raycasted_voxels,sensor_msgs/PointCloud2,/freedom,
/freedom/scan_blocks,sensor_msgs/PointCloud2,/freedom,
/freedom/scan_map_range,visualization_msgs/Marker,/freedom,
/freedom/scan_voxels,sensor_msgs/PointCloud2,/freedom,
/freedom/static_blocks,sensor_msgs/PointCloud2,/freedom,
/freedom/static_pointcloud,sensor_msgs/PointCloud2,/freedom,/fast_planner_node;/navigation/mission_manager
/freedom/static_pointcloud_viz,sensor_msgs/PointCloud2,/static_pointcloud_viz,
/freedom/static_subvoxels,sensor_msgs/PointCloud2,/freedom,
/freedom/static_voxels,sensor_msgs/PointCloud2,/freedom,
/gazebo/link_states,gazebo_msgs/LinkStates,/gazebo,
/gazebo/model_states,gazebo_msgs/ModelStates,/gazebo,
/gazebo/parameter_descriptions,dynamic_reconfigure/ConfigDescription,/gazebo,
/gazebo/parameter_updates,dynamic_reconfigure/Config,/gazebo,
/gazebo/performance_metrics,gazebo_msgs/PerformanceMetrics,/gazebo,
/gazebo/set_link_state,gazebo_msgs/LinkState,,/gazebo
/gazebo/set_model_state,gazebo_msgs/ModelState,,/gazebo
/livox/imu,sensor_msgs/Imu,/gazebo,
/livox/lidar,sensor_msgs/PointCloud2,/gazebo,/laserMapping
/mavlink/from,mavros_msgs/Mavlink,/mavros,
/mavlink/gcs_ip,std_msgs/String,/mavros,
/mavlink/to,mavros_msgs/Mavlink,,/mavros
/mavros/actuator_control,mavros_msgs/ActuatorControl,,/mavros
/mavros/adsb/send,mavros_msgs/ADSBVehicle,,/mavros
/mavros/adsb/vehicle,mavros_msgs/ADSBVehicle,/mavros,
/mavros/altitude,mavros_msgs/Altitude,/mavros,
/mavros/battery,sensor_msgs/BatteryState,/mavros,
/mavros/cam_imu_sync/cam_imu_stamp,mavros_msgs/CamIMUStamp,/mavros,
/mavros/camera/image_captured,mavros_msgs/CameraImageCaptured,/mavros,
/mavros/cellular_status/status,mavros_msgs/CellularStatus,,/mavros
/mavros/companion_process/status,mavros_msgs/CompanionProcessStatus,,/mavros
/mavros/debug_value/debug,mavros_msgs/DebugValue,/mavros,
/mavros/debug_value/debug_float_array,mavros_msgs/DebugValue,/mavros,
/mavros/debug_value/debug_vector,mavros_msgs/DebugValue,/mavros,
/mavros/debug_value/named_value_float,mavros_msgs/DebugValue,/mavros,
/mavros/debug_value/named_value_int,mavros_msgs/DebugValue,/mavros,
/mavros/debug_value/send,mavros_msgs/DebugValue,,/mavros
/mavros/esc_info,mavros_msgs/ESCInfo,/mavros,
